free_text|label_id
Chó Lúp lúp như chó .|1
Lúp lúp voal như chó .|1
Lúp lúp như cún .|1
như chó .|1
Dạy bơi cho nhiên. Bơi tâm đương cá nó bơi được vì . được cánó mới sao nó cho người là Làm là điều sống dân đang thì quan.|1
Dạy bơi việc cá. bơi thì đương nhiênlà nó bơi được vì nó là cá. Làm sao các ko sốngSống được rồi là điều người dân đang quan tịnh.|1
Dạy bơi cho . Bơi thì đương nó bơi được nó cá. sao cho được là điều người dân đang tâm.|1
bơi cá Bơi đương bơi được vì nó là cá Làm sao cho nó sống mới là điều dân đang quan|1
Ý Ý. Trong thức tiềntiền còn ít hơn cả số tiền trong túi t|1
Ý ít hơn cả số tiền túi t|1
Ý thức hề còn ít Trong hơn Trong cả số tiền trong túi t|1
Ý thức còn ít hơn cả số tiềntiền trong túi i|1
Đấu khẩu Chim|1
Đấu Chim 👍|1
Đấu khau - Chim lợn 👍|1
Đấu khẩu - Chim lợn 👍|1
Cai mieng nói không sợ bi hậu quả|1
Cai mieng nói không so bị hậu quả|1
Cai miệng sợ hậu quả|1
bị miệng nói hậu sợ Cai không quả|1
éo nghen nha liu liu|1
éo nha liu liu|1
éo nha liu liu|1
éo nha liuDầu liu|1
Lại thì Sâm clm đến v ff /Hợp|1
Lại Hợp Sâm clm tới vv thì /ff|1
Lại Hợp Sâm v thì ff|1
Lại Hợp Sâm đến v thì ff|1
Nghe giọng nứkg quá :)) Abe|1
giọng nứkg quá Abe :))|1
nứkg quá|1
Nghe giọng|1
Bóng khùng điên|1
Bóng bóng khùng bóng điên|1
Bóng khung bóng điên|1
Bóng bóng khùng bóng điên|1
Bảo dan :) thap thì ái tự tri|1
Bảo thì tri thap dan :) ái tự|1
Bảo dan tri ái thap tự thì :)|1
Bảo dan tri thap thì tự ái :)|1
Đang lúc dầu sôi lửa bong bay kiếm clmn hay gì á rồi đem bênh về đây cho nhà nước nuôi tốn com ton gao|1
Đang lúc dầu sôi lửa bỏng bay kiem clmn hay gì a rồi đem bênh ve đây cho nhà nước nuôi ton com tốn gạo|1
Đang lúc dầu sôi lửa bỏng bay kiếm clmn hay gì á rồi đem bênh về đây cho nhà nước nuôi tốn cơm tốn gạo|1
Đang lúc dầu sôi lửa bỏng bay kiem clmn hay gì á roi đem bênh về day cho nha nước nuôi tốn cơm tốn gao|1
Du dại ghê, bọn day ngày nào nó cung lên Phuong xiên cho nó 1 cái, đuợc tiếng luon, vào kham mấy anh chị cũng thuong, xiên hết mọi thằng trên Phường luon cho nó Sum|1
Đù vẫn Mấy Chị dại ghê, bọn Chị Thằng đấy ngày này nào nó cũng lên xiên Tiếng Phường Xiên xiên cho vào không nó 1 Mấy cái, đuợc tiếng luôn, vào khám mấy anh chị cũng thương, xiên hết mọi thằng trên Phường luôn cho nó Sum|1
trên dại ghêbọn cho Phường ngày mấy cho xiên chị Phường xiên , nó , ,1 đuợc tiếng thương, vào khám nào anh lên cũng luôncái cũng thằng mọi hết Đù đấy luôn nó nó Sum|1
Đù dại bọn đấy nào nó cũng lên Phường xiên cho nó 1 cái, tiếng , khám chị cũng , mọi trên Phường luôn Sum|1
Tóm lại là con gái hay trai... 😶😶😶...bực mình vl nhin hoai ko ra 😑😑|1
Tóm lại là con gái hoài trai... 😶😶😶...bực ra vl nhìn ko hay mình 😑😑|1
Tóm lại là vl nhìn hay bực... 😶😶😶...trai 😑😑 con ko hoài gái ra mình|1
Tóm lại là gái hay trai... 😶😶😶...bực vl hoài ko ra 😑😑|1
Pham Linh ko co cl|1
ko Linh Phạm co cl|1
Phạm Linh Nhg co cl|1
Phạm co ko Linh cl|1
ăn bận Giống cac họ|1
rảnh ăn bận như cac họ|1
ăn bận cac như họ|1
ăn Bận như cac họ|1
Polytypism khong phai la con nguoi con` ,,, tinh°• tinh tinh ,,|1
Day khong phai la con nguoi nua ,,, tinh tinh tinh ,,|1
Day khong phai la nua con nguoi ,,, tinh ,, tinh tinh|1
Day khong la phai con tinh ,, ,,, tinh nguoi tinh nua|1
Thật ngu lồn đi =)))|1
Ởcác ngu lồn đi =)))|1
Quá đi lồn ngu =)))|1
ngu Quá lồn đi =)))|1
"quýTừ cái đéo gì Vậy làm đừng Ðể ng ta nhắc đến VN là lắp với và ""ăn cắp"" :))"|1
"Làm cái đéo gì phải được đừng Ðể ng ta nhắcnhở đến VN có gắn với từ ""ăn cắp"" :))"|1
"Giúp mộtcái đéo gì cũng làm đừng để n ta nhắc đến VN là gắn với từ ""ăn Elmboog"" :))"|1
"Làm cái đéo gì nhắc để đừng làm từ ta cắp đến VN là ng với :)) ""ăn thì"" gắn"|1
"Ad hãy ba tìm Ô chục ad cuả Ô số báo nào này Ba của báo quân Altówkę đội khi viết "" ba-rách ô-ba-ma"" và ""đô-na trăm "". Vãi báo"|1
"rách đô tìm "". của nào báo báo quân đội "" viết "" basốAd --baôma"" và khihãy-na trăm - Vãi báo"|1
"báo số tìm hãy báo quân của Ad nào đội khi viết ma babarách đô-""ôbáo"" và ""--na trăm "". Vãi -"|1
"Ad hãy tìm báo nào của quân viết "" ba-rách ô-ba- và na trăm Vãi"|1
Bọn xằng chó sủa bậy|1
Bọn chó sủa bậy|1
chó bậy|1
Bọn sủa bậy|1
Trần xog = 1k like :) các bác sống nhanh|1
Tran Bình Trọng Vừa xog = 1k like :) cac bác sống nhanh vl :)|1
Trần Bình :) Vừa bác Trọng 1k like :) các xog sống nhanh = vl|1
like Bình 1k Vừa :) = Trọng :) Trần các bác sống nhanh vl xog|1
Đu.svátek tu.biên tu.diēn suot...|1
đu.má tu.USAChủ tu.diēn luon...|1
Đu.má peux.biênkế tu.diēn luon...|1
Đu.má tu.biên tu.diēn luon...|1
hoc cc =]]` nua~, ve san gi ma` kiem an voiz|1
hoc cc uC2cà gi 1kiem uC2cà ` học nua~, ve san voi ma` kiem an =]]z|1
hoc cc gi` nua~, ve san voi ma` kiem an =]]z|1
hoc cc ` ve voi ma` kiem an =]]z|1
Đúng là chó làm người phai chịu ... haizzz|1
Dung la chó làm người phải chịu ... haizzz|1
Đúng Chó là Vâng chó làm người phải chịu ... haizzz|1
Đúng muốn là chó muốn làm người phải chịu ... haizzz|1
Uống là nước đi tù|1
Uống đi là nước tù|1
Uống nước là mà tù|1
Uống nước là tù đi|1
hiểu đéo kiểu gì|1
đéo hiểu gì kiểu|1
gì hiểu kiểu đéo|1
đéo hiểu kiểu gi|1
Do mờ cuộc sống|1
Đờ mờ cuộc song|1
đờ mờ cuộc sống|1
Đờ mờ cuộc|1
giao chịch xã Chỉ thôi =))))|1
chịch Chỉ xã giao thôi =))))|1
Chỉ chịch Xã xã giao thôi =))))|1
giao chịch xã Chỉ thôi =))))|1
Chui nguai nua di co Co cho bo tat ngua|1
Chui nua di co bo ngua|1
nua co cho bo|1
chui nua di co đem bo tat ngua|1
"Lộc đéo cmt vì bác đc yên r. Lộc cmt cái bác \""nâng\"" nóc nhà thả nuôi Okê... Bãi đéo nào thì có dấu răng các L :))"|1
"Lộc đéo cmt là bác đc r. \""lên\"" bắt con gà... Bãi đéo nào cũng dấu của L :))"|1
"Lộc đéo cmt là bác đc yen r. Lộc cmt cái bac \""len\"" nóc nhà bat con gà... Bãi đéo nao cung có dấu răng của L :))"|1
"Lộc đéo cmt là bác đc r Lộc cái \"" nóc nhà bắt con gà Bãi đéo cũng có dấu :))"|1
"Bố lạy agoHiếp hả mày rồi đừng dâmHiếp ""hiếp dâm"" thị giác của bố nữa ad à 😂😂😂"|1
"Bố mày hiếp dâm"" thị giác nữa à 😂😂😂"|1
