free_text|label_id
Bọn bò đỏ tụi mày có ngày ăn shit đấy, cứ sủa mãi xem có khá hơn không? 🤮|2
Địt mẹ lũ quan chức tham nhũng, cướp hết của dân rồi còn bày đặt đạo đức giả.|2
Thằng ngu nào ra luật này vậy? Đúng là óc chó có khác.|2
Cái con đĩ này nhìn mặt đã thấy ghét, đúng loại não phẳng.|2
Mấy đứa Bắc Kỳ cứ làm màu là giỏi, ra đường thì bẩn thỉu vãi lồn.|2
Đcm lũ súc vật phản động, cút khỏi đất nước này đi. 🤬|2
Nhìn mặt thằng ad là thấy đúng loại lươn lẹo, dối trá.|2
Mấy con nghiện ngập dơ bẩn, chỉ biết ăn bám xã hội chứ làm được cái gì?|2
Thằng nào ăn bám váy đàn bà mà cứ sủa như chó thế?|2
Ước gì lũ dân chủ cuội chết hết đi cho xã hội đỡ bẩn.|2
Bọn Việt kiều rởm đời, về nước chỉ để làm màu.|2
Cái lũ rác rưởi cộng sản, bao giờ mới chịu biến khỏi cuộc đời này?|2
Con chó già đó cứ ngóc đầu lên là thấy nhức mắt.|2
Nhìn cái mặt con mẹ mày là tao đã muốn đấm rồi.|2
Mấy thằng gay cứ làm quá lên, nhìn phát tởm! 🤢|2
Bọn Hàn xẻng óc chó, cứ tưởng mình là bố thiên hạ.|2
Cái lũ khốn nạn, sống không bằng con chó.|2
Trông cái mặt thằng đó đúng kiểu tinh trùng khuyết tật.|2
Mấy thằng ăn bám xã hội, chỉ giỏi phá hoại.|2
Đcm con đĩ này, suốt ngày đi gây chuyện.|2
Bọn mày ngu như lợn vậy, nói mãi không hiểu à?|2
Cái thứ dân đen này thì biết cái gì mà sủa?|2
Con hãm l này sao chưa bị xe cán chết vậy trời?|2
Bọn bò vàng ảo tưởng sức mạnh, đúng là loại rẻ rách.|2
Mấy đứa làm màu, nhìn mà muốn nôn mửa. 🤮|2
Cái lũ sâu bọ hút máu dân, có ngày trời tru đất diệt.|2
Thằng ad đúng là đồ chó má, đăng bài bố láo vcl.|2
Con này chắc bị điên rồi, nói năng toàn thứ vớ vẩn.|2
Mấy thằng ngu học, cứ tưởng mình là hay lắm.|2
Cả lũ vô dụng, chỉ biết ngồi bàn phím sủa.|2
Đmm con chó! Cút đi! 😡|2
Mấy thằng cha già đảng viên chỉ biết vơ vét của dân.|2
Cái con đĩ điên này, sao chưa đi chết đi cho đỡ chật đất?|2
Lũ ăn hại, chỉ biết phá hoại đất nước.|2
Thằng này chắc bị thiểu năng rồi, nói chuyện nghe chán vcl.|2
Đcm cái bọn cộng sản, thối nát từ trong ra ngoài.|2
Con mẹ mày hãm lồn, đừng có sủa nữa!|2
Bọn nó ngu như bò, nói sao cũng không hiểu.|2
Cái thứ vô học, đi đâu cũng làm trò cười cho thiên hạ.|2
Nhìn cái mặt thằng đó là muốn đấm vỡ mồm rồi.|2
Mấy đứa Nam Kỳ chỉ được cái mồm, làm thì dở.|2
Thằng Việt gian bán nước, có ngày bị quả báo thôi.|2
Con đó đúng loại rẻ tiền, nhìn đã thấy khinh.|2
Đmm thằng biến thái, cút xa tao ra!|2
Lũ giẻ rách, không bao giờ khá lên được đâu.|2
Cái con này bị thần kinh à? Sao cứ nói mấy lời ngu xuẩn thế?|2
Bọn vô ơn, ăn cháo đá bát.|2
Thằng lồn nào dám động vào anh tao?|2
Nhìn cái mặt con đó đúng kiểu đĩ điếm.|2
Mấy thằng bần nông, chỉ được cái to mồm.|2
Con súc vật này, sao mày chưa chết đi?|2
Địt mẹ lũ khốn nạn, bao giờ mới được yên ổn?|2
Cái thằng ngu này, chỉ biết làm trò hề.|2
Con đó đúng loại bô bô cái miệng, chẳng biết suy nghĩ.|2
Bọn mày đúng là lũ chuột cống, chuyên đi đục khoét.|2
Thằng ad đúng là vô liêm sỉ, đăng tin tào lao.|2
Con chó ghẻ này, sao mày không câm mồm đi?|2
Mấy thằng đàn ông mà yếu đuối như đàn bà, đúng là lũ nhược tiểu.|2
Cái lũ sâu bọ này, có ngày bị tống vào lò hết.|2
Thằng đó mặt dày như cái thớt, nói mãi không biết nhục.|2
Đmm lũ bò đỏ, não tàn hết rồi hay sao? 🤯|2
Con mẹ mày, cút ra chỗ khác chơi!|2
Mấy thằng chỉ biết ăn bám, vô dụng vcl.|2
Bọn này đúng là lũ ăn cướp có tổ chức.|2
Thằng đó đúng là đồ vứt đi, chẳng làm được tích sự gì.|2
Con hãm l này, đừng có làm phiền người khác nữa.|2
Nhìn cái mặt thằng đó là thấy ghét, đúng kiểu sở khanh.|2
Địt mẹ thằng nào dám đụng vào chuyện của tao?|2
Cái lũ chó chết, sao chưa bị trời phạt?|2
Con điên đó, suốt ngày gây chuyện.|2
Bọn chó săn của chính quyền, chỉ biết nịnh bợ.|2
Thằng đó đúng là bại não, không có suy nghĩ.|2
Con mẹ mày ngu như chó, đừng có sủa nữa!|2
Mấy đứa làm màu, nhìn mà muốn đạp vô mặt.|2
Cái lũ phản động, có ngày bị tống cổ ra khỏi đất nước.|2
Thằng ad đúng là đồ rác rưởi, chỉ biết câu like bẩn.|2
Con đĩ đó, nhìn đã thấy muốn ói rồi.|2
Bọn ăn không ngồi rồi, chỉ biết phá làng phá xóm.|2
Thằng này đúng là đồ bệnh hoạn, nói mấy lời ghê tởm.|2
Con mẹ mày, đi chết đi cho đỡ chật đất!|2
Mấy đứa ngu dốt, cứ tưởng mình thông minh.|2
Cái lũ tham lam, có ngày chết không toàn thây.|2
Thằng đó đúng là đồ chó má, dám lừa lọc người khác.|2
Con khốn nạn này, sao mày chưa biến mất đi?|2
Bọn chúng nó đúng là lũ ăn cướp ngày, không có lương tâm.|2
Thằng ad đúng là thằng hèn, chỉ dám núp sau bàn phím.|2
Con đĩ đó, nhìn mà muốn nôn ra hết.|2
Mấy đứa chỉ biết phá hoại, vô dụng vcl.|2
Cái lũ vô đạo đức, có ngày bị báo ứng.|2
Thằng đó đúng là đồ dơ bẩn, không bằng con chó.|2
Con mẹ mày, câm mồm lại đi!|2
Mấy thằng ăn hại, chỉ biết phá đám.|2
Bọn chúng nó đúng là lũ sâu bọ, chuyên đi hút máu dân.|2
Thằng đó đúng là thằng điên, nói năng lung tung.|2
Con đĩ đó, nhìn là thấy muốn chửi rồi.|2
Mấy đứa ngu, cứ làm ra vẻ ta đây hiểu biết.|2
Cái lũ khốn nạn, có ngày bị trời tru đất diệt.|2
Thằng đó đúng là đồ rác rưởi, không có giá trị gì.|2
Con mẹ mày, biến khỏi mắt tao ngay!|2
Mấy thằng Bắc Kỳ óc chó, câm mồm đi. 🤮|2
Con nhỏ đó nhìn ghét vcl, đúng là loại não tàn!|2
Mấy thằng ăn hại này chỉ giỏi phá hoại đất nước thôi. 🤬|2
Thằng Ad mày làm ăn như clgv?|2
Đm lũ ba que xỏ lá, cút về xứ tụi mày đi.|2
Mặt con *** đó nhìn đã thấy muốn đấm rồi.|2
Cái loại vô học, vô văn hóa này nên bị tẩy chay.|2
Thằng cha giám đốc đúng là óc chó, quản lí như cc.|2
Đúng là đồ con ***, chỉ biết làm trò lố bịch.|2
Dm con mụ bán hàng, lừa đảo ko sợ quả báo à?|2
Ghét cay ghét đắng cái thái độ bố đời của nó.|2
Đừng ai dây vào con điên này, nó cắn người đấy.|2
Thằng Minh Hùng đúng là loại hãm lol.|2
Mấy đứa cứ ra vẻ tri thức xong nói toàn lời ngu xuẩn.|2
Cái mỏ hỗn của con Hà Anh làm tao muốn ói. 🤮|2
Dm cái bọn quan chức tham nhũng, ăn hết tiền dân.|2
Nhìn mặt thằng này là biết ngay loại sở khanh.|2
Con bé đó như cái *** ấy, chỉ biết khoe thân.|2
Mày có giỏi thì ra mặt mà nói chứ đừng sủa đằng sau.|2
Thật sự khinh bỉ mấy đứa giả tạo như vậy.|2
Cái thằng bê đê đó nhìn là thấy ghê tởm rồi.|2
Chính quyền kiểu gì mà để lũ chó hoành hành?|2
Đm thằng nào bảo vệ cái lũ vô nhân tính này?|2
Con Linh Thuỷ cái loại rẻ tiền.|2
Bọn trẻ trâu giờ chỉ giỏi ăn bám và phá làng phá xóm.|2
Mấy đứa mất dạy này nên bị tống cổ vào tù hết.|2
Mày im mẹ mồm đi, nói ngu vl.|2
Đồ lươn lẹo, chỉ biết lừa gạt người khác.|2
Con Trang kia mặt dày như cái thớt.|2
Tụi mày đúng là lũ súc vật.|2
Dm lũ óc chó.|2
Đánh chết mẹ cái thằng ăn cắp vặt đó đi.|2
Mấy thằng đàn ông gia trưởng, cổ hủ, đáng bị tuyệt chủng.|2
Cái con lol đó nhìn đã thấy muốn đấm rồi.|2
Mày nghĩ mày là ai mà lên mặt dạy đời? Đồ vô học.|2
Thằng Tiến Đạt đúng là thằng nghiện ngáo đá.|2
Loại người không có não, chỉ biết sống ích kỷ.|2
Con đĩ điếm đó chỉ giỏi giật chồng người khác.|2
Đm cái lũ vô ơn bạc nghĩa.|2
Cái thằng bóng chó này xàm lồn vcl.|2
Nhìn cái mặt nó ghét không chịu nổi.|2
Thằng này bị ngu bẩm sinh hay sao ấy nhỉ?|2
Mấy đứa khoe của trên mạng đúng là loại não tàn.|2
Cái loại cave rẻ tiền này chỉ giỏi đi chịch dạo.|2
Đm cái thể loại đàn bà lẳng lơ.|2
Thằng này chắc chắn là đồ con hoang.|2
Con Hà Vy đáng lẽ nên chết từ lâu rồi.|2
Bọn nó chỉ là lũ sâu bọ của xã hội.|2
Nhìn mặt nó hãm như cái quần què.|2
Đồ ăn hại, vô dụng.|2
Mày câm mẹ mồm đi, đồ súc vật.|2
Con Trang kia đúng là cái thứ bệnh hoạn.|2
Đm thằng nào đưa tin vớ vẩn này?|2
Cần loại bỏ ngay mấy thành phần phản động.|2
Con nhỏ đó nhìn đã thấy mùi tiền bẩn rồi.|2
Cái loại chó đó chỉ xứng đáng bị vứt ra đường.|2
Thằng nào bênh vực cái lũ biến thái này?|2
Địt mẹ mày, đồ vô giáo dục.|2
Con này đúng là đồ súc vật, không bằng con chó.|2
Cái lũ khốn nạn này nên bị trừng trị thích đáng.|2
Thằng Trung Kiên đúng là đồ khốn nạn.|2
Mấy đứa điên này nên vào bệnh viện tâm thần hết.|2
Mày nên ngậm mồm lại, đồ óc chó.|2
Đm cái bọn ăn không ngồi rồi phá làng phá xóm.|2
Thằng ad này đúng là thằng bố láo.|2
Con nhỏ đó mặt dày hơn cả bê tông.|2
Cái lũ rác rưởi này chỉ làm bẩn mắt thiên hạ.|2
Thằng đó nhìn đụt vl, chắc ngu từ trong trứng.|2
Mày là đồ bệnh hoạn, biến thái.|2
Con Ngân Thuỷ cái thứ vô liêm sỉ.|2
Đm cái thằng ăn bám, vô dụng.|2
Nhìn cái mặt con bé kia chỉ muốn đấm cho phát.|2
Thằng này chắc chắn là thằng gay lọ.|2
Cái lũ lợn này chỉ biết ăn với ị.|2
Con nào dám bênh vực cái loại này là con đó cũng đĩ.|2
Đm cái thằng hãm lol này.|2
Đồ khốn nạn, sống chỉ tổ làm khổ người khác.|2
Con nhỏ đó nhìn cái mồm là biết ngay loại thích đi chửi đổng.|2
Mày là đồ súc vật, không hơn không kém.|2
Thằng này đúng là thằng ăn cướp.|2
Cái lũ sâu bọ này nên bị tiêu diệt hết.|2
Địt mẹ cái lũ ngu dốt.|2
Con này mặt như cái đít vịt, mà cũng đòi làm người mẫu.|2
Thằng ad đăng bài nhảm nhí, óc chó.|2
Mấy đứa bóng gió này nên biến đi.|2
Con Hà Giang đúng là đồ thần kinh.|2
Đm cái lũ phản động, cút khỏi đất nước tao.|2
Mày im đi, đồ cái thứ hèn hạ.|2
Thằng đàn ông gì mà yếu sinh lý như con cún.|2
Con này nhìn cái mặt là muốn tát cho lệch hàm.|2
Đồ chó má, dám ăn nói kiểu đó à?|2
Mấy thằng ăn hại này chỉ biết phá hoại thôi.|2
Đm thằng nào bảo vệ cái loại này thì cũng là đồ khốn.|2
Con này đúng là cái thứ lươn lẹo, dối trá.|2
Thằng Tiến Dũng đúng là đồ nghiện.|2
Cái lũ ngu này nên bị nhốt vào chuồng chó.|2
Mày cút mẹ mày đi, đồ rác rưởi.|2
Con mẹ nó, đồ chó chết.|2
Cái thằng biến thái đó nên bị thiến đi.|2
Thằng nào thích khoe mẽ thì cũng là đồ rởm đời.|2
Đm cái lũ vô văn hóa, vô đạo đức.|2
Đm cái loại ăn cháo đá bát, sủa như chó!|2
Thằng Quang chó đẻ này lại diễn trò nữa rồi =)))|2
Con nhỏ này nhìn là thấy ghét, mặt vênh váo như đòi ăn đấm 😡|2
Đồ giả tạo, nói hay làm dở! Loại mày chỉ đáng vứt xó thôi.|2
Mấy con bitch thích thể hiện, đéo có não à?|2
Bọn lính đánh thuê dlv lại sủa nhảm nữa rồi. Ngu học vl!|2
Ông thầy bói này chắc lại lừa đảo chứ gì. Toàn nói phét!|2
Cút mẹ đi cho đỡ chướng mắt. Xấu xí mà bày đặt.|2
Ghê tởm cái bọn biến thái, ấu dâm. Cần lắm mấy gậy vào mặt!|2
Mấy thằng hèn nhát chỉ giỏi núp lùm cắn trộm. Đéo có bản lĩnh.|2
Bọn chúng nó ăn của dân không từ một thứ gì. Đồ tham lam!|2
Con Trang mồm điêu như quỷ. Đéo tin đc một lời.|2
Nhìn mặt thằng này là biết loại khôn lỏi, chuyên lừa lọc.|2
Cái thứ đạo đức giả, đội lốt người tử tế mà bên trong rỗng tuếch.|2
Đéo hiểu sao cái thằng mặt lòn này vẫn còn sống nhăn răng.|2
Mấy thằng cha xứ giả tạo, chuyên đi lừa đảo con chiên.|2
Loại mày chỉ làm ô uế cái nghề thôi con ạ. Vô liêm sỉ!|2
Cái lũ chó săn chỉ biết bợ đít quyền lực. Hèn mạt!|2
Mấy con hotgirl TikTok nhìn là thấy muốn ói. Toàn hàng giả!|2
Đm con đĩ này lại giở trò. Cút ngay!|2
Bọn nó ăn bẩn, sống bẩn, làm bẩn. Ghê tởm!|2
Nhìn cái bản mặt của thằng Tuấn là thấy ghét rồi. Chảnh chọe vl.|2
Câm mẹ mồm đi đồ vô học!|2
Con mẹ nó, lũ rác rưởi của xã hội.|2
Mấy thằng Bắc Kỳ vô văn hoá, ra đường là thấy ngứa mắt.|2
Bọn bán nước hại dân, rồi cũng có ngày quả báo thôi.|2
