free_text|label_id
Mấy thằng lồn này rảnh quá hả? 😂|1
Clm tưởng hay lắm à? Ngu vãi ò.|1
Đm cái mồm nói chuyện như cái chuồng gà.|1
Nhìn mặt đã thấy ghét rồi, sủa cái gì nữa?|1
Thôi dẹp mẹ đi, nói nhiều nhức đầu.|1
Xàm loz vừa thôi bạn ơi.|1
Đúng là lũ óc chó. 🤦‍♂️|1
Giỏi thì ra đây mà làm, nói phét cc.|1
Vcl sao nó ngu dữ vậy trời? 🤷‍♀️|1
Con mẹ nó, bực mình vãi.|1
Ý thức như cái quần què.|1
Đéo hiểu sao có đứa xem được.|1
Nhìn muốn đấm thẳng vào mặt.|1
Cái thứ mất dạy này.|1
Lượn đi cho nước nó trong, súc vật.|1
Nhảm nhí vãi lol.|1
Mày bị ngu hay giả ngu vậy?|1
Thằng rác rưởi.|1
Đừng có tỏ vẻ nguy hiểm, con đĩ.|1
Câm cái mồm lại đi, phiền vãi.|1
Đm tức điên người.|1
Bày đặt làm màu, lố bịch vcl.|1
Gái gì mà mặt dày hơn đít nồi.|1
Thôi rồi, ăn cứt rồi. 💩|1
Mấy đứa não tàn.|1
Khùng điên gì đâu không.|1
Đéo thể chấp nhận được loại này.|1
Nhìn ngứa mắt vcl.|1
Cút mẹ mày đi.|1
Lồn mẹ nó, làm ăn như cc.|1
Ngu còn bày đặt.|1
Mày câm đi, thằng mặt lìn.|1
Đúng là đồ bỏ đi.|1
Éo có não à?|1
Tiền đâu mà ăn chơi như chó vậy?|1
Mặt lone muốn đạp.|1
Địt mẹ, hết chịu nổi.|1
Loại rẻ tiền.|1
Sống như cặc.|1
Đừng có xàm lìn nữa.|1
Thằng khốn nạn.|1
Nghe mà muốn đập máy.|1
Trò hề vcl.|1
Đứa nào làm ra cái này, ngu vãi.|1
Nứng lồn à?|1
Ăn nói như cái đầu buồi.|1
Loại súc sinh.|1
Mày cút đi, nhìn thấy ghê.|1
Đéo có văn hóa.|1
Chết mẹ chúng nó đi.|1
Con quỷ cái.|1
Đm rác rưởi.|1
Cút đi đồ dở hơi.|1
Nhìn muốn chửi thề.|1
Tởm lợm vcl. 🤮|1
Thằng ngu học.|1
Đéo thể tin được.|1
Mày nên tự tử đi.|1
Cái thứ vô dụng.|1
Nứng cac à?|1
Địt mẹ mày, nói linh tinh.|1
Đéo ai thèm quan tâm.|1
Mày bị điên rồi.|1
Thôi im mẹ đi.|1
Loại chó má.|1
Sủa ít thôi.|1
Đồ hãm lồn.|1
Mày nói chuyện như cc.|1
Nhìn cái mặt đã thấy muốn ói.|1
Thằng vô học.|1
Đm mất thời gian.|1
Mày im mẹ mồm đi.|1
Thật là nhục nhã.|1
Đéo có tư cách.|1
Thằng chó chết.|1
Địt mẹ mày cút đi.|1
Bố láo mất dạy.|1
Nhìn đúng kiểu đéo ra gì.|1
Mày làm cái lồn gì đấy?|1
Chán vcl cuộc đời. 😭|1
Thằng lồn ngu.|1
Cái thứ ba xàm.|1
Xàm cứt.|1
Đúng là đồ phế vật.|1
Tao khinh.|1
Đéo chấp.|1
Mày bị ảo tưởng à?|1
Loại người không bằng con chó.|1
Đm cái thể loại gì đây.|1
Thôi ngưng đi, nhức đầu quá.|1
Mày tự vả vào mồm đi.|1
Thể hiện cc.|1
Đéo ai rảnh như mày.|1
Mấy đứa rảnh háng.|1
Nhìn muốn vả vô mặt.|1
Đúng là lũ súc vật.|1
Mày nói như cdb.|1
Cái đcm.|1
Thằng ăn hại.|1
Cút dùm đi, mắc ói.|1
Đm sao mà ngu thế k biết|1
Nhìn mặt đã thấy ghét vl rồi|1
Làm ăn như cc ấy, chán thật sự|1
Thằng nào nghĩ ra cái này đúng là óc chó|1
Cay vcl, làm gì cũng sai|1
Xạo lồn từ sáng đến tối ko mệt à?|1
Địt mẹ nhìn phèn vl|1
Mấy đứa rảnh háng cứ thích cà khịa|1
Nói ít thôi, mồm thối như cứt|1
Ăn nói mất dạy vcl|1
Đừng có tỏ vẻ thanh cao, bẩn tính lắm|1
Phế vật đúng nghĩa luôn|1
Nhìn cái mặt đã muốn đấm rồi|1
Giả tạo đéo chịu được|1
Tưởng hay lắm à, như buồi ấy|1
Thèm chửi cho một trận cho biết mặt|1
Bọn này chắc ăn cứt mà lớn|1
Đéo hiểu sao có thể tồn tại được|1
Ngứa mắt vl, muốn tắt mịa nó đi|1
Đủ má, lại thêm cái trò mèo|1
Thằng nào tag tao vào đây là bố m chửi chết|1
Khôn lỏi thấy ghét vãi|1
Đừng có mà diễn sâu, nhìn phát biết ngay|1
Con mẹ nó, lại tốn tiền oan|1
Mấy thằng lòn này toàn làm trò con bò|1
Nhìn như thằng nghiện í|1
Thôi im mịa mồm đi, nhức hết cả đầu|1
Đm, thế này thì ai mà chịu nổi|1
Cút mẹ mày đi chỗ khác chơi|1
Đéo biết nhục là gì à?|1
Buồn nôn vcl cái thái độ|1
Mày có câm mồm đi không thì bảo|1
Ngáo đá à mà làm trò này|1
Đéo có tí não nào hả|1
Nổ banh xác rồi đấy bố ạ|1
Đồ rác rưởi của xã hội|1
Cố đấm ăn xôi làm gì cho khổ?|1
Phát ngôn ngu vcl|1
Óc chó thật sự luôn ấy|1
Nhìn cái mặt đã thấy ghét vl rồi. 🤮|1
Đéo có tâm tí nào cả.|1
Trò hề rẻ tiền! 😂|1
Mất dạy từ trong trứng nước.|1
Con mẹ nó, lại lừa đảo à?|1
Ai cho phép mày sủa bậy thế?|1
Bọn ăn không ngồi rồi.|1
Nhìn ngứa mắt vãi đái.|1
Suốt ngày phét lác. 🙄|1
Đồ ăn hại!|1
Ai cũng ghét cái loại này.|1
Đm, mất công vl. 🤦‍♀️|1
Khốn nạn thật sự!|1
Cút đi, đừng làm phiền.|1
Ngu thì chết, bệnh tật gì. 🤷‍♂️|1
Cái mặt vênh váo như cc.|1
Ai bày trò này đúng là dở hơi.|1
Lũ sâu mọt của xã hội.|1
Đéo hiểu sao vẫn có người tin được.|1
Địt mẹ mày đừng có láo! 😠|1
Mày là cái thá gì mà đòi nói?|1
Nhìn cái mặt muốn đấm cho phát. 👊|1
Thằng điên!|1
Đồ vô học.|1
Sống cứt sống đái.|1
Đm, lại lừa nhau à. 😡|1
Mày câm mẹ mồm lại đi!|1
Bọn chó má.|1
Óc bò mới làm thế.|1
Nhìn cái kiểu đã thấy ghét.|1
Thằng óc vật.|1
Đéo xứng đáng!|1
Cái thứ ăn bám.|1
Thôi bớt ảo tưởng đi.|1
Nghe đã thấy muốn đấm rồi.|1
Cay vl, muốn chửi cho nát nước. 🔥|1
Mày là đồ ăn hại của gia đình.|1
Đéo hiểu sao vẫn có đứa bênh. 🤦‍♂️|1
Đéo có não hay sao mà phát biểu.|1
Cái lũ rảnh háng đi phá hoại.|1
Xạo lồn vừa thôi cha nội. 😄|1
Nhìn cái mặt đã thấy không ưa.|1
Đúng là hạng tép riu.|1
Địt mẹ mày cút ngay!|1
Mày có biết nhục là gì không?|1
Đéo có tí lương tâm nào.|1
Đồ bệnh hoạn. 🤢|1
Nhìn là biết đồ lừa đảo.|1
Ăn nói như chưa được học.|1
Đéo ai thèm quan tâm đâu.|1
Cái lũ vô công rồi nghề.|1
Mày bị ngáo à? 🤪|1
Đéo làm được gì ra hồn.|1
Thằng mặt lợn. 🐷|1
Bọn này chỉ giỏi phá hoại.|1
Đồ óc cờ hó. 🐶|1
Đm, lại bị lừa rồi! 😤|1
Đm nhìn cái mặt là muốn đấm rồi.|1
Thứ vô liêm sỉ, chả biết nhục là gì.|1
Nứng lồn à mà cứ đăng ba cái xàm xí.|1
Làm ăn như ccc, bảo sao mãi nghèo.|1
Đéo hiểu sao bọn nó vẫn thích nghe cái thể loại nhạc cđb này nhỉ.|1
Mấy con mụ lắm tiền nhiều tật.|1
Đúng là lũ ăn hại, chỉ giỏi phá.|1
Nhìn đã thấy ghét vl rồi, cần gì phải nói nhiều.|1
Chắc bóc phốt nhau cho nát bét cái lồn ra luôn đi.|1
Con cặc gì mà hot, toàn bọn ngu tung hô.|1
Đừng làm trò con bò nữa đi cha nội.|1
Vãi lồn, xem xong muốn đập máy.|1
Địt mẹ cái bọn não tàn.|1
Cuộc đời như cục cớt vậy đó :)))|1
Nhìn cái bản mặt là biết kiểu người dơ dáy rồi.|1
Sủa bậy vừa thôi, chó cũng biết nhục đấy.|1
Nứng lol thì đi kiếm thằng nào mà địt đi.|1
Cái lũ súc vật này.|1
Mấy thằng lòn này toàn làm chuyện bao đồng.|1
Thằng chó chết, tao nguyền rủa mày.|1
Đm bố mày nhịn mày lâu lắm rồi đấy.|1
Đem cái đống rác rưởi này đi giấu đi.|1
Đù má tức á 😤|1
Nhìn cái tướng đã thấy ghét rồi, đéo cần nói nhiều.|1
Mấy thằng loser chỉ giỏi sủa bậy trên mạng.|1
Đéo thể nuốt nổi cái lũ dơ bẩn này.|1
Muốn đấm vào mồm thằng nào nói câu đấy.|1
Con lồn này đúng là ngu như bò.|1
Thật là một lũ vô học.|1
Cút mẹ mày đi, đừng làm phiền tao nữa.|1
Đkm làm cái quần què gì vậy trời.|1
Nhìn cái mặt là thấy muốn nôn rồi.|1
Xàm lồn quá rồi đó nha.|1
Cái thể loại này xứng đáng bị chửi.|1
Mấy con đĩ điếm.|1
Bọn mất dạy, không có tí giáo dục nào.|1
Địt cụ mày.|1
Nghe xong chỉ muốn đấm cho vỡ mồm.|1
Đồ óc chó.|1
Cái lũ khốn nạn này.|1
Trông như mấy con điên vậy.|1
Thôi im mồm đi, nói nhảm lồn.|1
Điên à? Hay mày bị ngu?|1
Đéo hiểu sao vẫn có đứa hâm mộ cái thứ rác rưởi này.|1
Con lợn này.|1
Ăn nói như cái đồ vô văn hóa.|1
Mày câm mẹ mồm vào đi.|1
Vãi cả đái ra quần.|1
Đkm bọn chó má này.|1
Đéo muốn nhìn cái bản mặt đó nữa.|1
Con lồn kia làm cái trò gì vậy?|1
Thằng óc cứt.|1
Đồ ngu, cút đi cho khuất mắt.|1
Nhìn tởm lợm vãi.|1
Cút đi đồ phá hoại.|1
Thứ rác rưởi.|1
Cái lũ khốn nạn.|1
Đéo có tí liêm sỉ nào.|1
Nứng cặc hay sao mà cứ làm trò.|1
Đồ ăn hại.|1
Vl, đéo thể tin nổi.|1
Mấy thằng lol chỉ giỏi nói phét.|1
Nhìn muốn ỉa vào mặt.|1
Địt con mẹ mày.|1
Đồ mất dạy.|1
Ghê tởm vãi lồn.|1
Cứt khô không bằng.|1
Đéo biết nhục là gì.|1
Bọn chó đẻ.|1
Thằng mặt lồn.|1
Đụ má mày.|1
Nhìn muốn đập vỡ cái màn hình.|1
Mày bị khùng hả?|1
Đồ khốn.|1
Cút đi cho rảnh nợ.|1
Xàm lồn vãi.|1
Não tàn.|1
Đồ con bò.|1
Câm mồm đi đồ ngu.|1
Buồn ỉa vcl.|1
Thằng bẩn thỉu.|1
Đéo có não.|1
Con điên.|1
Nhìn muốn ói.|1
Đéo ngửi nổi.|1
Đồ rác rưởi.|1
Cứt đái.|1
Đéo ra cái thể thống gì.|1
Đồ chó má.|1
Thể loại này chỉ làm ô uế xã hội.|1
Mấy thằng lol, ăn hại.|1
Vãi lều.|1
Đéo đỡ được.|1
Nhìn muốn tát cho phát.|1
Ghét vcl.|1
Đéo thể chịu nổi.|1
Mày bị đần à?|1
Cái đồ khốn nạn.|1
Địt mẹ, đúng là mất dạy.|1
Nhìn mặt đã thấy ghét rồi, đéo cần nói nhiều.|1
Thằng l*n nào rảnh háng thế?|1
Nhìn cái mặt hết muốn ăn cơm.|1
Vô duyên vãi chưởng.|1
Đm phiền phức vcl.|1
Cái loại ngu như bò.|1
Óc chó mà bày đặt khôn.|1
Đéo hiểu sao có thể làm vậy.|1
Thật sự kinh tởm cái lũ này.|1
Rảnh háng đéo có gì làm à? 🙄|1
Sml với cái sự ngu dốt.|1
Ngứa mắt vãi cả ra.|1
Câm mồm đi con chó.|1
Đm quảng cáo như lồn.|1
Nhìn muốn ói vl.|1
Đúng là đồ ăn hại xã hội.|1
Xàm l*n vừa thôi.|1
Ncc cái lũ rảnh háng.|1
Mày bị khùng à? 🤡|1
Thối nát từ trong ra ngoài.|1
Đéo còn từ nào để nói.|1
Cái lũ chó má.|1
Bố mày đéo quan tâm.|1
Nhìn gớm chết đi được.|1
Vcl cái tư duy.|1
Cứt đái mẹ mày đi.|1
Cạn lời với cái độ ngu.|1
Điên cmnr.|1
Đkm chán vl.|1
Nhìn muốn vả cho phát.|1
Lũ bệnh hoạn.|1
Mày bị ngu l*n à?|1
Chán đéo buồn nói.|1
Cái mặt thấy ghét.|1
Toang cmnr.|1
Đcm mất dạy.|1
Nhìn phát ớn.|1
Xàm lờ.|1
Nghe muốn tát cho phát.|1
Đéo có cửa đâu mà sủa.|1
Cái lũ vô học.|1
Rảnh háng đi cày tiền đi.|1
Bố thằng điên.|1
Mày nói như c*t.|1
Thích ăn đòn không?|1
Đm bựa vãi.|1
Khung vkl ra.|1
Đéo hiểu con c*c gì.|1
Cái thứ mất nết.|1
Nhìn cái mặt đã thấy đéo ưa rồi.|1
Xàm l*n thế.|1
Muốn đấm cho phát.|1
Đéo thể tin nổi.|1
Thằng l*n nào ngu thế?|1
Đm phí tiền.|1
Nhìn mặt đúng mắc ỉa.|1
Cút mẹ mày đi cho đỡ chật đất.|1
Đồ chó ghẻ.|1
Ngu thì chết chứ bệnh tật gì.|1
Bố thằng hâm.|1
Đéo có não à?|1
Vô duyên một cách thô thiển.|1
Nói chuyện như cc.|1
Gặp ngoài đường tát cho sấp mặt.|1
Loại rẻ rách.|1
Thằng ăn bám.|1
Đm cay vãi.|1
Nhìn thấy gớm ghiếc.|1
Cái mồm l*n.|1
Đồ khốn nạn.|1
Vcl cười ỉa 😂|1
Nghe mà muốn chửi thề.|1
Đéo thể chấp nhận được.|1
Cái loại ncc.|1
Bố mày khinh.|1
Ăn nói như thằng mất dạy.|1
Nhìn muốn đập vỡ mẹ cái điện thoại.|1
Cái thứ bỏ đi.|1
Vkl thất vọng.|1
Thằng l*n nào rảnh háng post lên đây?|1
Cứt đái mẹ mày đi cho đỡ nhức mắt.|1
Ngu dốt vãi c*t.|1
Thằng hãm.|1
Đm ghét vãi.|1
Muốn đấm cho nát mặt.|1
Mệt mỏi với cái lũ này.|1
Vcl phiền phức.|1
Sủa cái l*n gì vậy?|1
Đồ não tàn.|1
Nhìn như c*t.|1
Bố mày đéo thèm nói.|1
Đồ chó má ăn c*t.|1
Cái loại óc bò.|1
Thích ăn chửi à?|1
Đm chán đời.|1
Mấy con mẹ nói điêu vl. 🙄|1
Đéo thể ngửi nổi cái thái độ này. 🤮|1
Thằng lồn này lại diễn kịch à? 🎭|1
Nghe mà muốn đập vỡ mẹ cái điện thoại. 😡|1
Cái loại óc chó này thì biết gì. 🤦‍♂️|1
Ăn nói như cái đống cứt. 💩|1
Đcm, toàn lũ lươn lẹo. 🐍|1
Bố mày chửi cho sml bây giờ. 🤬|1
Ngu si còn bày đặt thể hiện. 🤡|1
Óc chó mới tin cái này. 🐶🧠|1
Vcl, đúng là lũ mất dạy. 😠|1
Hãm tài vãi đái. 😒|1
Đcm đúng lũ mặt lồn. 👺|1
Cái thứ dơ bẩn. 🤢|1
Nhìn mặt đã thấy ghét r. 😠|1
Mày im mẹ mồm đi. 🤫|1
Cái đầu m k có não à? 🧠🚫|1
Thể hiện cái đb gì ko biết. 🙄|1
Khốn nạn như chó. 🐕‍🦺|1
Thằng khốn nạn này! 🤬|1
Đừng có sủa bậy nữa. 🐶🗣️|1
Đkm muốn vả vào mặt nó quá. 👊😡|1
Nhức cái đầu vl. 🤯|1
Con mẹ nó, sao mà ngu thế. 🤦‍♀️|1
Đúng là lũ ăn hại. 🗑️|1
Mồm chó vó ngựa. 🐎🗣️|1
Đéo thể chấp nhận đc. 😤|1
Óc cờ hó, phát biểu linh tinh. 🤪|1
Cút mẹ đi cho đỡ chật đất. 👋|1
Dơ như chó. 🐕|1
Vãi cả lìn. 😲|1
Mày câm mồm lại. 🤐|1
Đéo hiểu sao có đứa ngu thế. 🤔🤯|1
Cút xéo hộ cái. 💨|1
Cái thứ rác rưởi. 🚮|1
Bố thí cho miếng liêm sỉ đi. 🙏|1
Nứng lồn à mà sủa. 🐕‍🦺|1
Địt mẹ nó chứ. 🤬|1
Phát biểu như cc. 💩|1
Cay vãi đái ra. 🌶️|1
Thằng ml này. 😡|1
Rảnh háng vl. 🥱|1
Điên cái đầu óc lên. 🤯|1
Đm bố mệt mỏi với m lắm r. 😫|1
Ngu k có lối thoát. 😵‍💫|1
Đéo thể tiêu hóa đc cái loại này. 🤢|1
Má nó chứ, tức điên. 😠|1
Mồm thối hoắc. 😷|1
